data,descricao,categoria,valor,tipo,estabelecimento,metodo_pagamento
2025-01-01,Plano de Saúde,saude,450.0,saida,Drogaria Saúde,debito
2025-01-01,Academia,saude,99.0,saida,Laboratório Diagnóstico,pix
2025-01-01,Parque,lazer,147.16,saida,Livraria Cultura,credito
2025-01-01,Curso,transporte,639.7,saida,Metrô,credito
2025-01-02,Educacao,educacao,85.88,saida,Faculdade Digital,pix
2025-01-02,Educacao,educacao,98.14,saida,Livraria Saraiva,pix
2025-01-03,Combustível,transporte,41.39,saida,Ônibus Municipal,pix
2025-01-03,Estacionamento,transporte,35.27,saida,Posto Ipiranga,pix
2025-01-05,Salário,receita,5303.57,entrada,Empresa ABC Ltda,pix
2025-01-05,Celular,servicos,89.9,saida,Assistência Técnica,debito
2025-01-06,Lanche,alimentacao,20.7,saida,Supermercado Bom Preço,debito
2025-01-07,Aluguel,moradia,1200.0,saida,Casa Nova Imobiliária,credito
2025-01-07,Servicos,servicos,51.62,saida,Assistência Técnica,pix
2025-01-07,Educacao,educacao,85.26,saida,Faculdade Digital,pix
2025-01-08,Condomínio,moradia,350.0,saida,Morada Feliz,credito
2025-01-08,Estacionamento,transporte,53.56,saida,Metrô,debito
2025-01-09,Streaming (Netflix+Spotify),lazer,79.9,saida,Academia FitPro,credito
2025-01-09,Almoço,alimentacao,9.89,saida,Feira Livre Central,credito
2025-01-09,Restaurante,lazer,90.21,saida,Spotify,debito
2025-01-09,Educacao,educacao,91.53,saida,Editora Moderna,pix
2025-01-10,Internet,moradia,120.0,saida,Conforto Lar,debito
2025-01-13,Vestuario,vestuario,39.83,saida,C&A,credito
2025-01-13,Educacao,educacao,103.58,saida,Faculdade Digital,pix
2025-01-14,Padaria,alimentacao,35.42,saida,Hiper Atacado,debito
2025-01-14,Educacao,educacao,57.76,saida,Editora Moderna,credito
2025-01-15,Vestuario,vestuario,43.44,saida,Zara,credito
2025-01-15,Vestuario,vestuario,33.53,saida,Nike,debito
2025-01-15,Metrô,transporte,27.65,saida,99 Taxi,credito
2025-01-16,Vestuario,vestuario,86.51,saida,Adidas,credito
2025-01-16,Vestuario,vestuario,98.06,saida,Pet Shop Amigo Fiel,pix
2025-01-17,Vestuario,vestuario,26.69,saida,Renner,credito
2025-01-17,Servicos,servicos,20.79,saida,Salão Beauty,credito
2025-01-20,Combustível,transporte,20.85,saida,Metrô,credito
2025-01-21,Vestuario,vestuario,99.75,saida,Restaurante Sabor Caseiro,debito
2025-01-23,Cinema,lazer,100.34,saida,Cinema Multiplex,debito
2025-01-23,Servicos,servicos,46.85,saida,Salão Beauty,pix
2025-01-27,Uber,transporte,49.05,saida,Padaria Pão Quente,pix
2025-01-28,Bar,lazer,27.46,saida,Lanchonete Rápida,debito
2025-01-28,Vestuario,vestuario,85.9,saida,Restaurante Sabor Caseiro,credito
2025-01-29,Combustível,transporte,70.15,saida,Posto Ipiranga,pix
2025-01-29,Ônibus,transporte,74.78,saida,Ônibus Municipal,pix
2025-01-29,Reforma,lazer,525.74,saida,Parque Aquático,debito
2025-01-31,Mercado,alimentacao,28.16,saida,Supermercado Bom Preço,pix
2025-01-31,Café,alimentacao,41.37,saida,Banca de Jornais,credito
2025-01-31,Bar,lazer,57.74,saida,Pet Shop Amigo Fiel,debito
2025-02-01,Plano de Saúde,saude,450.0,saida,Clínica Bem Estar,credito
2025-02-01,Academia,saude,99.0,saida,Laboratório Diagnóstico,debito
2025-02-02,Celular,servicos,89.9,saida,Assistência Técnica,pix
2025-02-03,Internet,moradia,120.0,saida,Imobiliária Sol Nascente,pix
2025-02-03,Metrô,transporte,55.23,saida,Posto Ipiranga,debito
2025-02-04,Metrô,transporte,54.75,saida,Ônibus Municipal,debito
2025-02-04,Janta,alimentacao,34.75,saida,Feira Livre Central,credito
2025-02-04,Show,lazer,26.77,saida,Parque Aquático,debito
2025-02-05,Salário,receita,5312.22,entrada,Empresa ABC Ltda,pix
2025-02-05,Café,alimentacao,23.41,saida,Hiper Atacado,credito
2025-02-05,Servicos,servicos,83.06,saida,Manutenção Residencial,debito
2025-02-06,Aluguel,moradia,1200.0,saida,Imobiliária Sol Nascente,credito
2025-02-06,Educacao,educacao,111.95,saida,Editora Moderna,credito
2025-02-06,Educacao,educacao,34.3,saida,Cursos Online Academy,debito
2025-02-07,Vestuario,vestuario,42.03,saida,Nike,debito
2025-02-07,Mercado,alimentacao,10.2,saida,Supermercado Bom Preço,pix
2025-02-08,Condomínio,moradia,350.0,saida,Lar Seguro Imóveis,debito
